cod;classificacao ;grupo;abertura bcb;alimentos;servicos;servicos_rti;industriais;tradables;nucleo ex0;nucleo ex1;nucleo ex2;nucleo ex3
12409;Subitem;Vestuário;Bens industriais;;;;Semi-duráveis;Comercializáveis;EX0;EX1;EX2;EX3
7604;Subgrupo;Vestuário;Bens industriais;;;;Semi-duráveis;Comercializáveis;;;;
7605;Item;Vestuário;Bens industriais;;;;Semi-duráveis;Comercializáveis;;EX1;EX2;EX3
7606;Subitem;Vestuário;Bens industriais;;;;Semi-duráveis;Comercializáveis;EX0;EX1;EX2;EX3
7607;Subitem;Vestuário;Bens industriais;;;;Semi-duráveis;Comercializáveis;EX0;EX1;EX2;EX3
7608;Subitem;Vestuário;Bens industriais;;;;Semi-duráveis;Comercializáveis;EX0;EX1;EX2;EX3
107652;Subitem;Vestuário;Bens industriais;;;;Semi-duráveis;Comercializáveis;EX0;EX1;EX2;EX3
47647;Subitem;Vestuário;Bens industriais;;;;Semi-duráveis;Comercializáveis;EX0;EX1;EX2;EX3
7614;Subitem;Vestuário;Bens industriais;;;;Semi-duráveis;Comercializáveis;EX0;EX1;EX2;EX3
47648;Subitem;Vestuário;Bens industriais;;;;Semi-duráveis;Comercializáveis;EX0;EX1;EX2;EX3
7615;Subgrupo;Vestuário;Bens industriais;;;;Duráveis;Comercializáveis;;;;
7616;Item;Vestuário;Bens industriais;;;;Duráveis;Comercializáveis;;EX1;EX2;EX3
7617;Subitem;Vestuário;Bens industriais;;;;Duráveis;Comercializáveis;EX0;EX1;EX2;EX3
7618;Subitem;Vestuário;Bens industriais;;;;Duráveis;Comercializáveis;EX0;EX1;EX2;EX3
7619;Subitem;Vestuário;Bens industriais;;;;Duráveis;Comercializáveis;EX0;EX1;EX2;EX3
7620;Subgrupo;Vestuário;Bens industriais;;;;Semi-duráveis;Comercializáveis;;;;
7621;Item;Vestuário;Bens industriais;;;;Semi-duráveis;Comercializáveis;;EX1;EX2;EX3
7622;Subitem;Vestuário;Bens industriais;;;;Semi-duráveis;Comercializáveis;EX0;EX1;EX2;EX3
7623;Subitem;Vestuário;Bens industriais;;;;Semi-duráveis;Comercializáveis;EX0;EX1;EX2;EX3
7625;Grupo;Transportes;;;;;;;;;;
7626;Subgrupo;Transportes;;;;;;;;;;
7627;Item;Transportes;;;;;;;;EX1;;
7628;Subitem;Transportes;Monitorados;;;;;Comercializáveis;;EX1;;
7629;Subitem;Transportes;Monitorados;;;;;Comercializáveis;;EX1;;
7630;Subitem;Transportes;Monitorados;;;;;Comercializáveis;;EX1;;
7631;Subitem;Transportes;Monitorados;;;;;Comercializáveis;;EX1;;
7632;Subitem;Transportes;Monitorados;;;;;Comercializáveis;;EX1;;
7634;Subitem;Transportes;Serviços;;Ex-Subjacente;A. Fora e Pass. Aéreas;;Não comercializáveis;EX0;EX1;;
7635;Subitem;Transportes;Monitorados;;;;;Comercializáveis;;EX1;;
7639;Subitem;Transportes;Serviços;;Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;EX2;EX3
47649;Subitem;Transportes;Serviços;;Ex-Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;;
47650;Subitem;Transportes;Monitorados;;;;;Comercializáveis;;EX1;;
7640;Item;Transportes;;;;;;;;EX1;;
7641;Subitem;Transportes;Bens industriais;;;;Duráveis;Comercializáveis;EX0;EX1;;
7642;Subitem;Transportes;Monitorados;;;;;Comercializáveis;;EX1;;
7643;Subitem;Transportes;Serviços;;Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;EX2;EX3
107653;Subitem;Transportes;Monitorados;;;;;Comercializáveis;;EX1;;
7644;Subitem;Transportes;Bens industriais;;;;Não duráveis;Comercializáveis;EX0;EX1;EX2;EX3
7645;Subitem;Transportes;Bens industriais;;;;Semi-duráveis;Comercializáveis;EX0;EX1;EX2;EX3
12411;Subitem;Transportes;Bens industriais;;;;Semi-duráveis;Comercializáveis;EX0;EX1;EX2;EX3
7647;Subitem;Transportes;Serviços;;Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;EX2;EX3
7648;Subitem;Transportes;Serviços;;Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;EX2;EX3
7649;Subitem;Transportes;Monitorados;;;;;Comercializáveis;;EX1;;
107654;Subitem;Transportes;Bens industriais;;;;Duráveis;Não comercializáveis;EX0;EX1;;
7653;Subitem;Transportes;Serviços;;Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;EX2;EX3
107656;Subitem;Transportes;Serviços;;Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;EX2;EX3
7654;Subitem;Transportes;Bens industriais;;;;Duráveis;Comercializáveis;EX0;EX1;EX2;EX3
7656;Item;Transportes;;;;;;;;;;
7657;Subitem;Transportes;Monitorados;;;;;Comercializáveis;;;;
7658;Subitem;Transportes;Bens industriais;;;;Não duráveis;Comercializáveis;EX0;;;
7659;Subitem;Transportes;Monitorados;;;;;Comercializáveis;;;;
107657;Subitem;Transportes;Monitorados;;;;;Comercializáveis;;;;
7660;Grupo;Saúde e cuidados pessoais;;;;;;;;;;
7661;Subgrupo;Saúde e cuidados pessoais;;;;;;;;;;
7662;Item;Saúde e cuidados pessoais;Monitorados;;;;;;;EX1;;
7663;Subitem;Saúde e cuidados pessoais;Monitorados;;;;;Comercializáveis;;EX1;;
7664;Subitem;Saúde e cuidados pessoais;Monitorados;;;;;Comercializáveis;;EX1;;
7665;Subitem;Saúde e cuidados pessoais;Monitorados;;;;;Comercializáveis;;EX1;;
7666;Subitem;Saúde e cuidados pessoais;Monitorados;;;;;Comercializáveis;;EX1;;
12412;Subitem;Saúde e cuidados pessoais;Monitorados;;;;;Comercializáveis;;EX1;;
7669;Subitem;Saúde e cuidados pessoais;Monitorados;;;;;Comercializáveis;;EX1;;
7670;Subitem;Saúde e cuidados pessoais;Monitorados;;;;;Comercializáveis;;EX1;;
7671;Subitem;Saúde e cuidados pessoais;Monitorados;;;;;Comercializáveis;;EX1;;
47651;Subitem;Saúde e cuidados pessoais;Monitorados;;;;;Comercializáveis;;EX1;;
7673;Subitem;Saúde e cuidados pessoais;Monitorados;;;;;Comercializáveis;;EX1;;
7674;Subitem;Saúde e cuidados pessoais;Monitorados;;;;;Comercializáveis;;EX1;;
107659;Subitem;Saúde e cuidados pessoais;Monitorados;;;;;Comercializáveis;;EX1;;
7677;Subitem;Saúde e cuidados pessoais;Monitorados;;;;;Comercializáveis;;EX1;;
47652;Subitem;Saúde e cuidados pessoais;Monitorados;;;;;Comercializáveis;;EX1;;
109464;Item;Saúde e cuidados pessoais;;;;;;;;EX1;EX2;EX3
47653;Subitem;Saúde e cuidados pessoais;Bens industriais;;;;Duráveis;Comercializáveis;EX0;EX1;EX2;EX3
7683;Subgrupo;Saúde e cuidados pessoais;;;;;;;;;;
7684;Item;Saúde e cuidados pessoais;Serviços;;Subjacente;Serviços diversos;;Não comercializáveis;;EX1;EX2;EX3
7685;Subitem;Saúde e cuidados pessoais;Serviços;;Subjacente;Intensivos em trabalho;;Não comercializáveis;EX0;EX1;EX2;EX3
7686;Subitem;Saúde e cuidados pessoais;Serviços;;Subjacente;Intensivos em trabalho;;Não comercializáveis;EX0;EX1;EX2;EX3
12414;Subitem;Saúde e cuidados pessoais;Serviços;;Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;EX2;EX3
12435;Subitem;Saúde e cuidados pessoais;Serviços;;Subjacente;Intensivos em trabalho;;Não comercializáveis;EX0;EX1;EX2;EX3
12436;Subitem;Saúde e cuidados pessoais;Serviços;;Subjacente;Intensivos em trabalho;;Não comercializáveis;EX0;EX1;EX2;EX3
7690;Item;Saúde e cuidados pessoais;Serviços;;Subjacente;Serviços diversos;;Não comercializáveis;;EX1;EX2;EX3
7691;Subitem;Saúde e cuidados pessoais;Serviços;;Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;EX2;EX3
7692;Subitem;Saúde e cuidados pessoais;Serviços;;Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;EX2;EX3
12416;Subitem;Saúde e cuidados pessoais;Serviços;;Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;EX2;EX3
7695;Item;Saúde e cuidados pessoais;Monitorados;;;;;;;EX1;;
7696;Subitem;Saúde e cuidados pessoais;Monitorados;;;;;Comercializáveis;;EX1;;
7697;Subgrupo;Saúde e cuidados pessoais;;;;;;;;;;
7698;Item;Saúde e cuidados pessoais;Bens industriais;;;;Não duráveis;Comercializáveis;;EX1;EX2;EX3
7699;Subitem;Saúde e cuidados pessoais;Bens industriais;;;;;Comercializáveis;EX0;EX1;EX2;EX3
12420;Subitem;Saúde e cuidados pessoais;Bens industriais;;;;;Comercializáveis;EX0;EX1;EX2;EX3
101642;Subitem;Saúde e cuidados pessoais;Bens industriais;;;;;Comercializáveis;EX0;EX1;EX2;EX3
101644;Subitem;Saúde e cuidados pessoais;Bens industriais;;;;;Comercializáveis;EX0;EX1;EX2;EX3
107661;Subitem;Saúde e cuidados pessoais;Bens industriais;;;;;Comercializáveis;EX0;EX1;EX2;EX3
7703;Subitem;Saúde e cuidados pessoais;Bens industriais;;;;;Comercializáveis;EX0;EX1;EX2;EX3
7704;Subitem;Saúde e cuidados pessoais;Bens industriais;;;;;Comercializáveis;EX0;EX1;EX2;EX3
7707;Subitem;Saúde e cuidados pessoais;Bens industriais;;;;;Comercializáveis;EX0;EX1;EX2;EX3
7708;Subitem;Saúde e cuidados pessoais;Bens industriais;;;;;Comercializáveis;EX0;EX1;EX2;EX3
7709;Subitem;Saúde e cuidados pessoais;Bens industriais;;;;;Comercializáveis;EX0;EX1;EX2;EX3
7710;Subitem;Saúde e cuidados pessoais;Bens industriais;;;;;Comercializáveis;EX0;EX1;EX2;EX3
7711;Subitem;Saúde e cuidados pessoais;Bens industriais;;;;;Comercializáveis;EX0;EX1;EX2;EX3
7712;Grupo;Despesas pessoais;;;;;;;;;;
7713;Subgrupo;Despesas pessoais;;;;;;;;;;
7714;Item;Despesas pessoais;;;;;;;;EX1;;
7715;Subitem;Despesas pessoais;Serviços;;Subjacente;Intensivos em trabalho;;Não comercializáveis;EX0;EX1;EX2;EX3
12421;Subitem;Despesas pessoais;Serviços;;Subjacente;Intensivos em trabalho;;Não comercializáveis;EX0;EX1;EX2;EX3
7720;Subitem;Despesas pessoais;Serviços;;Ex-Subjacente;Intensivos em trabalho;;Não comercializáveis;EX0;EX1;;
47654;Subitem;Despesas pessoais;Serviços;;Subjacente;Intensivos em trabalho;;Não comercializáveis;EX0;EX1;EX2;EX3
7721;Subitem;Despesas pessoais;Serviços;;Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;EX2;EX3
7723;Subitem;Despesas pessoais;Monitorados;;;;;Comercializáveis;;EX1;;
7724;Subitem;Despesas pessoais;Serviços;;Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;EX2;EX3
7727;Subitem;Despesas pessoais;Serviços;;Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;EX2;EX3
7728;Subitem;Despesas pessoais;Monitorados;;;;;Comercializáveis;;EX1;;
47655;Subitem;Despesas pessoais;Serviços;;Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;EX2;EX3
47656;Subgrupo;Despesas pessoais;;;;;;;;;;
7730;Item;Despesas pessoais;;;;;;;;EX1;;
7733;Subitem;Despesas pessoais;Serviços;;Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;EX2;EX3
7735;Subitem;Despesas pessoais;Bens industriais;;;;Duráveis;Comercializáveis;EX0;EX1;EX2;EX3
47657;Subitem;Despesas pessoais;Serviços;;Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;EX2;EX3
7736;Subitem;Despesas pessoais;Bens industriais;;;;Duráveis;Comercializáveis;EX0;EX1;EX2;EX3
107666;Subitem;Despesas pessoais;Bens industriais;;;;Não duráveis;Não comercializáveis;EX0;EX1;EX2;EX3
7738;Subitem;Despesas pessoais;Bens industriais;;;;Semi-duráveis;Comercializáveis;EX0;EX1;EX2;EX3
47658;Subitem;Despesas pessoais;Serviços;;Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;EX2;EX3
107668;Subitem;Despesas pessoais;Monitorados;;;;;Comercializáveis;;EX1;;
7746;Subitem;Despesas pessoais;Bens industriais;;;;Semi-duráveis;Comercializáveis;EX0;EX1;EX2;EX3
47659;Subitem;Despesas pessoais;Serviços;;Ex-Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;;
47660;Subitem;Despesas pessoais;Serviços;;Ex-Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;;
47661;Subitem;Despesas pessoais;Serviços;;Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;EX2;EX3
47662;Subitem;Despesas pessoais;Serviços;;Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;EX2;EX3
7758;Item;Despesas pessoais;;;;;;;;EX1;;
7759;Subitem;Despesas pessoais;Bens industriais;;;;Não duráveis;Comercializáveis;EX0;EX1;;
7766;Grupo;Educação;;;;;;;;;;
7767;Subgrupo;Educação;;;;;;;;;;
12427;Item;Educação;Serviços;;Ex-Subjacente;Serviços diversos;;Não comercializáveis;;EX1;;
7769;Subitem;Educação;Serviços;;Ex-Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;;
47663;Subitem;Educação;Serviços;;Ex-Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;;
107671;Subitem;Educação;Serviços;;Ex-Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;;
107672;Subitem;Educação;Serviços;;Ex-Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;;
107673;Subitem;Educação;Serviços;;Ex-Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;;
107674;Subitem;Educação;Serviços;;Ex-Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;;
47664;Subitem;Educação;Serviços;;Ex-Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;;
47665;Subitem;Educação;Serviços;;Ex-Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;;
7777;Item;Educação;;;;;;Não comercializáveis;;EX1;EX2;EX3
7778;Subitem;Educação;Bens industriais;;;;Não duráveis;Não comercializáveis;EX0;EX1;EX2;EX3
107676;Subitem;Educação;Bens industriais;;;;Não duráveis;Não comercializáveis;EX0;EX1;EX2;EX3
47666;Subitem;Educação;Bens industriais;;;;Semi-duráveis;Não comercializáveis;EX0;EX1;EX2;EX3
47667;Subitem;Educação;Bens industriais;;;;Semi-duráveis;Não comercializáveis;EX0;EX1;EX2;EX3
7782;Item;Educação;;;;;;Comercializáveis;;EX1;EX2;EX3
7783;Subitem;Educação;Bens industriais;;;;Não duráveis;Comercializáveis;EX0;EX1;EX2;EX3
7785;Subitem;Educação;Bens industriais;;;;Não duráveis;Comercializáveis;EX0;EX1;EX2;EX3
107678;Item;Educação;Serviços;;Ex-Subjacente;Serviços diversos;;Não comercializáveis;;EX1;;
107679;Subitem;Educação;Serviços;;Ex-Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;;
107681;Subitem;Educação;Serviços;;Ex-Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;;
107682;Subitem;Educação;Serviços;;Ex-Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;;
107683;Subitem;Educação;Serviços;;Ex-Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;;
12428;Subitem;Educação;Serviços;;Ex-Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;;
7786;Grupo;Comunicação;;;;;;;;;;
7787;Subgrupo;Comunicação;;;;;;;;;;
7788;Item;Comunicação;;;;;;;;EX1;;
7789;Subitem;Comunicação;Monitorados;;;;;Comercializáveis;;EX1;;
47668;Subitem;Comunicação;Monitorados;;;;;Comercializáveis;;EX1;;
47669;Subitem;Comunicação;Serviços;;Ex-Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;;
47670;Subitem;Comunicação;Serviços;;Ex-Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;;
107688;Subitem;Comunicação;Serviços;;Ex-Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;;
7794;Subitem;Comunicação;Bens industriais;;;;Duráveis;Comercializáveis;EX0;EX1;EX2;EX3
47671;Subitem;Comunicação;Serviços;;Ex-Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;;
47672;Subitem;Comunicação;Serviços;;Ex-Subjacente;Serviços diversos;;Não comercializáveis;EX0;EX1;;
